Barris,Poblacio,Gener,Febrer,Marz,Abril,Maig,Juny,Juliol,Agost,Setembre,Octubre,Novembre,Desembre
1. el Raval,35173,"11,3","11,2","11,2",11,"10,3","10,1","9,9","9,7","9,9","9,9","10,2","10,1"
2. el Barri Gatic,12088,"8,7","8,5","8,3",8,"7,6","7,3","7,2","7,1","7,2","7,2","7,5","7,5"
3. la Barceloneta,10802,"11,3","10,9","10,8","10,5","10,1","9,7","9,6","9,8","9,8","9,9",10,"9,9"
"4. Sant Pere, Santa Caterina i la Ribera",16757,"10,1","9,7","9,6","9,4",9,"8,7","8,6","8,8","8,8","8,8","8,9","8,8"
5. el Fort Pienc,20956,"7,1","6,9","6,8","6,6","6,4","6,2","6,1","6,3","6,3","6,4","6,4","6,4"
6. la Sagrada Famalia,34076,"7,3","7,1",7,"6,9","6,6","6,4","6,4","6,6","6,5","6,5","6,5","6,5"
7. la Dreta de l'Eixample,28742,"5,8","5,7","5,6","5,4","5,2","5,1","5,1","5,2","5,1",5,"5,1",5
8. l'Antiga Esquerra de l'Eixample,27813,"6,5","6,3","6,3",6,"5,7","5,6","5,5","5,7","5,8","5,8","5,8","5,7"
9. la Nova Esquerra de l'Eixample,37901,"7,1","6,9","6,9","6,6","6,5","6,2","6,3","6,4","6,3","6,3","6,3","6,2"
10. Sant Antoni,25240,"7,6","7,4","7,4","7,1","6,9","6,7","6,8","6,9","6,9","6,9",7,"6,8"
11. el Poble Sec - AEI Parc Montjuic,28202,"9,9","9,8","9,9","9,5","9,2","8,9","8,9","8,9","8,8","8,8","8,9","8,8"
12. la Marina del Prat Vermell - AEI Zona Franca,768,"19,7","19,1",18,"18,4","18,1","17,1","16,2","15,7","15,3","15,8",16,"16,3"
13. la Marina de Port,19856,"10,6","10,4","10,6","10,2","9,9","9,7","9,5","9,4","9,4","9,5","9,5","9,1"
14. la Font de la Guatlla,6865,"10,3","10,1","10,2","9,9","9,5","9,2","9,2","9,2","9,1","9,1","9,2","9,1"
15. Hostafrancs,11001,"7,8","7,7","7,7","7,6","7,2","7,1",7,"7,2",7,"7,1","7,1","7,1"
16. la Bordeta,12084,"8,3","8,2","8,3","8,2","7,7","7,6","7,5","7,7","7,5","7,5","7,6","7,5"
17. Sants - Badal,15916,"7,1",7,"6,9","6,7","6,5","6,3","6,3","6,4","6,2","6,2","6,2","6,1"
18. Sants,27169,"7,7","7,6","7,6","7,4","7,1","6,9","6,9","7,1","6,9","6,9","6,9","6,9"
19. les Corts,28488,"7,5","7,4","7,4","7,2",7,"6,7","6,7","6,9","6,7","6,7","6,7","6,6"
20. la Maternitat i Sant Ramon,14728,"7,6","7,5","7,4","7,2","6,9","6,7","6,7","6,8","6,6","6,6","6,6","6,6"
21. Pedralbes,6950,"3,7","3,7","3,5","3,3","3,2","3,2","3,3","3,4","3,2","3,2","3,2","3,2"
"22. Vallvidrera, el Tibidabo i les Planes",3002,"3,5","3,4","3,4","3,3","3,2","3,2","3,2","3,2","3,1","3,1","3,1",3
23. Sarria,14815,"3,7","3,7","3,6","3,4","3,3","3,3","3,3","3,4","3,3","3,3","3,3","3,2"
24. les Tres Torres,9862,"4,1",4,4,"3,9","3,8","3,7","3,8","3,8","3,7","3,7","3,7","3,6"
25. Sant Gervasi - la Bonanova,15679,"4,4","4,3","4,4","4,3","4,2",4,"4,1","4,1","4,1","4,1","4,1",4
26. Sant Gervasi - Galvany,29005,"4,4","4,2","4,3","4,2",4,4,4,"4,1","4,1","4,1",4,4
27. el Putxet i el Farra,18723,"6,3","6,2","6,1","5,9","5,7","5,6","5,6","5,7","5,8","5,7","5,7","5,6"
28. Vallcarca i els Penitents,9644,"7,8","7,6","7,5","7,1",7,"6,7","6,8","6,9",7,7,7,"6,9"
29. el Coll,4844,"6,5","6,4","6,2",6,"5,8","5,5","5,6","5,7","5,8","5,9","5,9","5,8"
30. la Salut,8181,"7,6","7,4","7,3",7,"6,9","6,7","6,8","7,1","6,9","6,8","6,8","6,7"
31. la Vila de Gracia,34554,"7,1",7,"6,9","6,7","6,4","6,4","6,5","6,7","6,5","6,4","6,4","6,4"
32. el Camp d'en Grassot i Gracia Nova,21992,"7,3","7,2","7,1","6,9","6,7","6,5","6,5","6,7","6,6","6,5","6,5","6,4"
33. el Baix Guinarda,16328,"7,6","7,4","7,3","7,2",7,"6,7","6,8",7,"6,9","6,8","6,8","6,7"
34. Can Bara,5755,"7,7","7,5","7,4","7,1",7,"6,8","6,9","7,2",7,"6,9","6,9","6,7"
35. el Guinarda,23144,"8,8","8,4","8,4","8,1",8,"7,7","7,7",8,"7,9","7,8","7,8","7,7"
36. la Font d'en Fargues,5746,"10,6","10,3","10,3",10,"9,9","9,5","9,4","9,6","9,5","9,5","9,5","9,3"
37. el Carmel,19883,"10,4","10,2","10,2","9,9","9,7","9,3","9,3","9,5","9,4","9,3","9,4","9,2"
38. la Teixonera,7287,"8,5","8,3","8,2","7,9","7,8","7,6","7,5","7,7","7,7","7,7","7,7","7,6"
39. Sant Genis dels Agudells,4083,"9,1","8,8","8,8","8,5","8,4","8,2",8,"8,3","8,3","8,3","8,3","8,2"
40. Montbau,2900,"9,3",9,"8,9","8,7","8,5","8,3","8,2","8,4","8,5","8,5","8,4","8,4"
41. la Vall d'Hebron,3442,"8,3","8,1",8,"7,8","7,6","7,5","7,3","7,6","7,6","7,6","7,6","7,5"
42. la Clota,411,"4,9","4,7","4,7","4,5","4,5","4,4","4,3","4,4","4,4","4,4","4,4","4,4"
43. Horta,16273,"10,8","10,5","10,5","10,3","10,1","9,6","9,5","9,5","9,5","9,5","9,5","9,2"
44. Vilapicina i la Torre Llobeta,15927,"10,3","10,1","10,1","9,8","9,6","9,2","8,9","8,9",9,"9,1",9,"8,8"
45. Porta,15116,"10,6","10,3","10,3",10,"9,7","9,4","9,2","9,3","9,3","9,4","9,4","9,2"
46. el Turo de la Peira,9561,"10,7","10,4","10,5","10,2",10,"9,5","9,3","9,2","9,3","9,4","9,2",9
47. Can Peguera,1382,"10,2",10,"10,1","9,9","9,6","9,2",9,"8,9",9,"9,1","8,9","8,8"
48. la Guineueta,8691,"12,9","12,8","12,9","12,7","12,3","11,8","11,7","11,7","11,8","11,8","11,6","11,5"
49. Canyelles,4297,"12,7","12,7","12,8","12,5","12,1","11,6","11,5","11,5","11,6","11,6","11,4","11,3"
50. les Roquetes,10145,"11,7","11,6","11,7","11,5","11,2","10,7","10,6","10,6","10,7","10,7","10,5","10,4"
51. Verdun,7733,"11,8","11,7","11,8","11,6","11,2","10,7","10,7","10,6","10,7","10,7","10,6","10,5"
52. la Prosperitat,15863,"11,4","11,1",11,"10,7","10,4","10,1","9,9",10,10,10,"10,1","9,8"
53. la Trinitat Nova,4717,"17,1","17,1","17,3","16,8","16,1","15,5","14,9","14,5","14,7","14,8","15,1","14,7"
54. Torre Bara,1871,"11,9","11,9","12,1","11,7","11,2","10,8","10,4","10,1","10,2","10,3","10,5","10,3"
55. Ciutat Meridiana,6463,18,18,"18,2","17,7","16,9","16,4","15,6","15,2","15,4","15,5","15,9","15,5"
56. Vallbona,846,16,16,"16,2","15,7",15,"14,5","13,9","13,5","13,6","13,7","14,1","13,7"
57. la Trinitat Vella,6733,16,16,"16,2","15,7","15,1","14,6","13,9","13,5","13,7","13,8","14,1","13,8"
58. Bara de Viver,1653,"9,2",9,"8,9","8,7","8,4","8,1","8,1","8,3","8,2",8,8,"7,8"
59. el Bon Pastor,7990,"10,8","10,6","10,5","10,2","9,9","9,5","9,5","9,7","9,6","9,5","9,4","9,1"
60. Sant Andreu,36349,"9,6","9,4","9,3",9,"8,8","8,5","8,4","8,6","8,5","8,4","8,4","8,1"
61. la Sagrera,18434,"8,6","8,6","8,6","8,3",8,"7,7","7,7","7,8","7,7","7,8","7,8","7,5"
62. el Congres i els Indians,8807,"8,8","8,8","8,7","8,5","8,1","7,8","7,8","7,9","7,9","7,9","7,9","7,6"
63. Navas,13939,"8,6","8,5","8,5","8,2","7,9","7,6","7,6","7,8","7,7","7,7","7,7","7,5"
64. el Camp de l'Arpa del Clot,24890,"9,1","8,8","8,9","8,7","8,5",8,"7,9","8,1",8,8,"8,2",8
